time,SYS.2111CRZIT55000,SYS.CRZIT55000_PORCENTAJE,SYS.2111BNLIT10133,SYS.2111BNLIT10133_A,SYS.2111CR011FIT55141,SYS.2111CR011FIT55142,SYS.2111CR011FIT55143,SYS.2111CR011FIT55144,SYS.2111CR011FIT55145,SYS.2111CR011LU1PL1M1,SYS.2111CR011LU1PL1M1CV,SYS.2111CR011LU1PL1M1TV,SYS.2111CR011LU1PL2M1,SYS.2111CR011LU1PL2M1CV,SYS.2111CR011LU1PL2M1TV,SYS.2111CR011LU2PL1M1,SYS.2111CR011M1,SYS.2111CR011M1.ActivePower,SYS.2111CR011M1.Bearing1,SYS.2111CR011M1.Bearing2,SYS.2111CR011M1.Current,SYS.2111CR011M1.PowerFactor,SYS.2111CR011M1.Winding1,SYS.2111CR011M1.Winding2,SYS.2111CR011M1.Winding3,SYS.2111CR011M1.Winding4,SYS.2111CR011M1.Winding5,SYS.2111CR011M1.Winding6,SYS.2111CR011M1_kW_CPT,SYS.2111CR011M1_REM545_CURRENT,SYS.2111CR011M1_REM545_POTENCIA,SYS.2111CR011M1BD11,SYS.2111CR011M1BD21,SYS.2111CR011M1TD2,SYS.2111CR011M1TD4,SYS.2111CR011M1TD6,SYS.2111CRLIT55227,SYS.2111CRPDIT55216,SYS.2111CRPIT55214,SYS.2111CRTIT55109,SYS.2111CRTIT55110,SYS.2111CRTIT55111,SYS.2111CRTIT55140A,SYS.2111CRTIT55140B,SYS.2111CRTIT55223,SYS.2111CRTIT55224,SYS.2111CRTIT55226,SYS.2111CRXV55228,SYS.2111CR011HY1PL1M1.RUN,SYS.2111CR011LU1PL2M1.RUN,SYS.2111CR011M1.RUN,SYS.2111CRPIT55196,SYS.2100_Thermal Load,CLU.Cons_Ley.BWI.H
2018-6-01 07:00:10.10,182.8095245,67.75844574,59.53092957,52.6554184,142.8460083,152.007782,19.81528473,20.7226963,23.04660988,14849.86914,45,20.2221756,17154.09961,45,20.02957153,1750.669067,26014.83203,890.1148682,0,0,154.3777466,0.247641593,49.65743256,49.40834808,49.18768311,54.48999786,38.48999786,0,787752.5625,154.2056427,890.1148682,54.56221771,38.29557419,48.96469879,49.11603928,49.64222717,65.64421844,75.37005615,888.5062866,48.78684998,49.71934891,42.62509537,51.81467438,40.63697815,37.90271378,52.63790131,52.36491776,Cerrado,Funcionando,Funcionando,Funcionando,2328.539795,,17.26527405
2018-6-01 07:00:11.11,182.634201,67.67016602,59.51101685,52.67464447,142.8751831,152.1397247,19.81389809,20.72562599,23.04441071,14849.86914,45,20.22217941,17154.09961,45,20.02957153,1750.669067,26014.83203,959.8691406,0,0,158.6952362,0.247643366,49.60526657,49.41532516,49.1009903,54.48999786,38.48999786,0,787969.25,158.592865,959.8691406,54.56233978,38.29547119,48.97084045,49.13592911,49.64878845,65.64418793,75.39051056,889.0906982,48.78674698,49.71930695,42.62488937,51.81467438,40.6370163,37.90317535,52.63824081,52.36491013,Cerrado,Funcionando,Funcionando,Funcionando,2388.254395,,17.26527405
2018-6-01 07:00:12.12,181.9132233,67.30183411,59.49110794,52.69387054,142.9043732,152.2716522,19.81250954,20.72855377,23.04220963,14849.86914,45,20.22218323,17154.09961,45,20.02957153,1750.669067,26014.83203,1029.623413,0,0,163.0127258,0.24764514,49.55310059,49.42230225,49.01429367,54.48999786,38.48999786,0,788203.0625,162.9800873,1029.623413,54.56246185,38.29536438,48.97698212,49.15581894,49.65534592,65.64416504,75.41095734,888.7195435,48.7866478,49.7192688,42.62467957,51.81467056,40.63705826,37.90363693,52.63858032,52.36490631,Cerrado,Funcionando,Funcionando,Funcionando,2489.446045,,17.26527405
2018-6-01 07:00:13.13,181.756897,67.22333527,59.47119522,52.71310043,142.933548,152.2111053,19.81112289,20.73148155,23.04000854,14849.86914,45,20.22218704,17154.09961,45,20.02957153,1750.669067,26014.83203,1099.377686,0,0,170.0174866,0.247646898,49.5009346,49.42928314,48.92760086,54.48999786,38.48999786,0,788439.75,170.0174866,1099.377686,54.56258011,38.29526138,48.98312378,49.17570877,49.6619072,65.64413452,75.43141174,889.2723389,48.7865448,49.71922684,42.62447357,51.81467056,40.63710022,37.90409851,52.63892365,52.3649025,Cerrado,Funcionando,Funcionando,Funcionando,2569.797607,,17.26527405
2018-6-01 07:00:14.14,181.258728,66.96736145,59.4512825,52.73232651,142.962738,151.9812164,19.80973625,20.73441124,23.03780937,14849.86914,45,20.22219086,17154.09961,45,20.02957153,1750.669189,26014.83203,1114.932007,0,0,173.8133698,0.247648671,49.44876862,49.43626022,48.84090805,54.48999786,38.48999786,0,788676.375,174.3085327,1114.932007,54.56270218,38.29515839,48.98926544,49.19560242,49.66846848,65.644104,75.45186615,886.0494995,48.7864418,49.71918488,42.62426376,51.81466675,40.63714218,37.90456009,52.63926315,52.36489868,Cerrado,Funcionando,Funcionando,Funcionando,2652.623535,,17.26527405
2018-6-01 07:00:15.15,180.7312164,66.69994354,59.43136978,52.75155258,143.0762329,151.69487,19.8083477,20.73733902,23.03560829,14849.86914,45,20.22219467,17154.09961,45,20.02957153,1750.669189,26014.83203,1080.051147,0,0,172.4234467,0.24765043,49.39660263,49.4432373,48.75421524,54.48999786,38.48999786,0,788913.0625,173.8745728,1080.051147,54.56282425,38.29505539,48.9954071,49.18001175,49.67502594,65.64408112,75.47231293,881.1238403,48.78633881,49.71914291,42.62405777,51.81466293,40.63718033,37.90502167,52.63960266,52.36489105,Cerrado,Funcionando,Funcionando,Funcionando,2721.53125,,17.26527405
2018-6-01 07:00:16.16,181.5557556,67.1216507,59.41146088,52.77077866,143.277832,151.4547577,19.80696106,20.74026871,23.03340912,14849.86914,45,20.22220039,17154.10156,45,20.02957153,1750.669189,26014.83398,1045.170288,0,0,171.0335388,0.247652203,49.38028336,49.45021439,48.72180939,54.48999786,38.48999786,0,789149.75,173.4406128,1045.170288,54.56294632,38.29495239,49.00154877,49.12734222,49.68158722,65.6440506,75.49276733,879.6419067,48.78623962,49.71910477,42.62384796,51.81466293,40.63722229,37.90548325,52.63994598,52.36488724,Cerrado,Funcionando,Funcionando,Funcionando,2620.556641,,17.26527405
2018-6-01 07:00:17.17,182.2272491,67.46277618,59.39154816,52.79000473,143.4794312,151.3242035,19.80557442,20.74319649,23.03120804,14849.86914,45,20.22220421,17154.10156,45,20.02957153,1750.669189,26014.83398,1010.289429,0,0,169.6436157,0.247653961,49.40126801,49.45719528,48.74591827,54.48999786,38.48999786,0,789386.375,173.0066528,1010.289429,54.56306458,38.29484558,49.00769043,49.0746727,49.68814468,65.64402008,75.51322174,883.0930176,48.78613663,49.71906281,42.62363815,51.81465912,40.63726425,37.90594101,52.64028549,52.36488342,Cerrado,Funcionando,Funcionando,Funcionando,2482.113525,,17.26527405
2018-6-01 07:00:18.18,181.6495819,67.16696167,59.37163544,52.8092308,143.6810455,151.0155182,19.80418587,20.74612427,23.02900887,14849.86914,45,20.22220802,17154.10156,45,20.02957153,1750.669189,26014.83398,984.368103,0,0,168.2537079,0.247655734,49.42225647,49.46417236,48.77002335,54.48999786,38.48999786,0,789623.0625,171.8041992,984.368103,54.56318665,38.29474258,49.01383209,49.05437469,49.69470596,65.64399719,75.5245285,887.4558105,48.78603363,49.71902084,42.62343216,51.81465912,40.63730621,37.90640259,52.64062881,52.36487579,Cerrado,Funcionando,Funcionando,Funcionando,2514.521729,,17.26527405
2018-6-01 07:00:19.19,181.191803,66.93501282,59.30982971,52.82845688,143.7630157,150.4864502,19.80279922,20.74905396,23.02680779,14849.86914,45,20.22221184,17154.10156,45,20.02957153,1750.669189,26014.83398,969.53125,0,0,166.8637848,0.247657493,49.44324112,49.47114944,48.79413223,54.48999786,38.48999786,0,789859.75,169.6510162,969.53125,54.56330872,38.29463959,49.01997375,49.0741272,49.70126724,65.64396667,75.5245285,885.8643188,48.78593063,49.7189827,42.62322235,51.8146553,40.63734818,37.90686417,52.64096832,52.36487198,Cerrado,Funcionando,Funcionando,Funcionando,2628.449951,,17.26527405
2018-6-01 07:00:20.20,181.6040802,67.14536285,59.1964035,52.84768295,143.6975708,150.2640839,19.80141258,20.75198174,23.0246067,14849.86914,45,20.22221565,17154.10156,45,20.02957153,1750.669312,26014.83398,954.694458,0,0,165.473877,0.247659266,49.46422577,49.47812653,48.8182373,54.48999786,38.48999786,0,790096.375,167.4978333,954.694458,54.56342697,38.29453659,49.02611542,49.09387589,49.70782471,65.64393616,75.5245285,887.7232056,48.78583145,49.71894073,42.62301636,51.8146553,40.63738632,37.90732574,52.64130783,52.36486816,Cerrado,Funcionando,Funcionando,Funcionando,2659.408203,,17.26527405
2018-6-01 07:00:21.21,181.5550232,67.11690521,59.08297348,52.86690903,143.6321411,150.4960938,19.80002403,20.75491142,23.02240753,14849.86914,45,20.22221947,17154.10156,45,20.02957153,1750.669312,26014.83398,939.857605,0,0,164.0839539,0.247661039,49.48521423,49.48510742,48.84234619,54.48999786,38.48999786,0,790333.0625,165.344635,939.857605,54.56354904,38.29442978,49.03225708,49.11362839,49.71438599,65.64391327,75.5245285,891.3731689,48.78572845,49.71889877,42.62280655,51.81465149,40.63742828,37.90778732,52.64165115,52.36486435,Cerrado,Funcionando,Funcionando,Funcionando,2626.120117,,17.26527405
2018-6-01 07:00:22.22,180.6519318,66.65608215,58.96954727,52.84044647,143.4866333,150.8518372,19.79863739,20.7578392,23.02020645,14849.86914,45,20.22222328,17154.10156,45,20.02957153,1750.669312,26014.83398,925.020813,0,0,162.694046,0.247662798,49.50619888,49.4920845,48.86645126,54.48999786,38.48999786,0,790569.75,163.4131622,925.020813,54.56367111,38.29432678,49.03839874,49.13337708,49.72094727,65.64388275,75.5245285,888.7677612,48.78562546,49.71885681,42.62259674,51.81465149,40.63747025,37.9082489,52.64199066,52.36485672,Cerrado,Funcionando,Funcionando,Funcionando,2723.055176,,17.26527405
2018-6-01 07:00:23.23,180.1364594,66.39422607,58.85611725,52.74282455,143.2164459,151.2615204,19.79724884,20.76076889,23.01800728,14849.86914,45,20.2222271,17154.10352,45,20.02957153,1750.669312,26014.83398,911.2643433,0,0,161.3041229,0.247664571,49.52718735,49.49906158,48.89056015,54.48999786,38.48999786,0,790806.375,161.8270416,911.2643433,54.56379318,38.29422379,49.04454041,49.15312958,49.72750473,65.64385223,75.5245285,887.7294312,48.78552246,49.71881866,42.62239075,51.81464767,40.63751221,37.90871048,52.64233017,52.36485291,Cerrado,Funcionando,Funcionando,Funcionando,2788.66626,,17.26527405
2018-6-01 07:00:24.24,180.3869629,66.52375031,58.74269104,52.64520264,143.0646515,151.3018188,19.7958622,20.76369667,23.0158062,14849.86914,45,20.22223091,17154.10352,45,20.02957153,1750.669312,26014.83594,899.1834717,0,0,159.9142151,0.247666329,49.548172,49.50603867,48.91466522,54.48999786,38.48999786,0,791043.0625,160.2409058,899.1834717,54.56391144,38.29412079,49.05068207,49.17287827,49.73406601,65.64382935,75.5245285,884.2493896,48.78542328,49.7187767,42.62218094,51.81464386,40.63755035,37.90917206,52.64267349,52.36484909,Cerrado,Funcionando,Funcionando,Funcionando,2807.332031,,17.26527405
2018-6-01 07:00:25.25,180.3242493,66.49217224,58.62926102,52.54758072,143.1206512,151.0716553,19.79447556,20.76662445,23.01360703,14849.86914,45,20.22223473,17154.10352,45,20.02957153,1750.669312,26014.83594,887.1026001,0,0,158.524292,0.247668102,49.56916046,49.51301956,48.93877411,54.48999786,38.48999786,0,791279.75,158.6547852,887.1026001,54.56403351,38.29401779,49.05682373,49.19263077,49.74062729,65.64379883,75.5245285,882.9125977,48.78532028,49.71873474,42.62197495,51.81464386,40.63759232,37.90963364,52.643013,52.36484146,Cerrado,Funcionando,Funcionando,Funcionando,2856.105713,,17.26527405
2018-6-01 07:00:26.26,180.8215485,66.7440567,58.51583481,52.4499588,143.1766357,150.9626465,19.79308701,20.76955414,23.01140594,14849.86914,45,20.22223854,17154.10352,45,20.02957153,1750.669312,26014.83594,875.0217285,0,0,160.1820221,0.247669861,49.59014511,49.51999664,48.96287918,54.48999786,38.48999786,0,791516.375,160.1820221,875.0217285,54.56415558,38.29391098,49.06296539,49.19517899,49.74718475,65.64376831,75.5245285,890.4786987,48.78521729,49.71869278,42.62176514,51.81464005,40.63763428,37.91009521,52.64335251,52.36483765,Cerrado,Funcionando,Funcionando,Funcionando,2757.838867,,17.26527405
